날짜,장소,경주번호,마번,마명,기수,부담중량
20260321,seoul,1,2,추열,장추열,3.0
20260321,seoul,1,0,이스,빅투아르,3.0
20260321,seoul,1,1,재로,조상범,3.0
20260321,seoul,2,0,기원,김아현,3.0
20260321,seoul,2,2,아르,송재철,3.0
20260321,seoul,3,0,동하,장추열,4.0
20260321,seoul,4,2,범현,이혁,3.0
20260321,seoul,8,0,이혁,유승완,4.0
20260321,seoul,8,4,픽,처,54.5
20260321,seoul,1,6,등급,루키,3.0
20260321,seoul,1,0,천원,순위상금,11.0
20260321,seoul,1,2,추열,장추열,3.0
20260321,seoul,1,1,재로,조상범,3.0
20260321,seoul,1,4,거대한빛,중지,54.0
20260321,seoul,2,0,천원,순위상금,11.0
20260321,seoul,2,2,아르,송재철,3.0
20260321,seoul,3,0,천원,순위상금,12.0
20260321,seoul,4,0,천원,순위상금,13.0
20260321,seoul,4,2,범현,이혁,3.0
20260321,seoul,5,0,천원,순위상금,13.0
20260321,seoul,5,8,아리온퀸,중지,52.5
20260321,seoul,6,0,천원,순위상금,14.0
20260321,seoul,7,0,천원,순위상금,15.0
20260321,seoul,7,11,천마호령,중지,52.0
20260321,seoul,8,0,천원,순위상금,15.0
20260321,seoul,9,0,천원,순위상금,16.0
20260321,seoul,9,8,정상히어,중지,56.5
20260321,seoul,10,0,천원,순위상금,17.0
20260321,seoul,11,0,천원,순위상금,17.0
